YEAR,HHWT,MET2013,PUMA,OWNERSHPD,MORTAMT1,RENT,PERNUM,PERWT,SEX,AGE,MARST,RACE,HISPAN,EDUC,EMPSTAT,OCC2010,IND,INCTOT,FTOTINC,POVERTY,MIGMET1,MIGPLAC1,MIGPUMA1
2006,58,38060,121,13,860,0,3,81,2,3,6,1,0,0,0,9920,0,9999999,116000,501,4482.0,,
2006,148,39140,500,0,0,0,1,148,1,18,6,8,1,6,3,9920,0,0,9999999,0,4480.0,,
2006,99,38060,118,22,0,1200,1,98,1,20,6,1,1,6,2,6355,770,38300,38300,366,4480.0,,
2006,59,29420,600,12,0,0,1,57,1,64,1,1,0,10,3,4700,4470,115000,133000,501,4482.0,,
2006,59,29420,600,12,0,0,2,67,2,64,1,1,0,10,3,9920,0,18000,133000,501,4482.0,,
2006,118,22380,400,22,0,1300,1,116,1,20,6,1,0,7,3,9620,6170,0,0,1,4480.0,,
2006,58,38060,111,12,0,0,1,58,2,46,1,1,1,2,3,4230,8660,0,26000,128,4480.0,,
2006,58,38060,111,12,0,0,2,67,1,47,1,1,1,0,1,4220,3980,26000,26000,128,4480.0,,
2006,56,38060,110,12,0,0,1,56,1,63,1,1,0,6,1,7700,2490,60000,83300,501,4480.0,,
2006,56,38060,110,12,0,0,2,56,2,72,1,1,1,7,3,9920,0,23300,83300,501,4480.0,,
2006,146,38060,116,0,0,0,1,146,2,18,6,1,0,6,1,5400,8090,3000,9999999,0,4480.0,,
2006,108,29420,600,22,0,550,1,108,2,68,4,1,0,6,3,4720,5790,12300,12300,131,4480.0,,
2006,57,38060,118,22,0,670,1,57,2,23,1,7,1,6,3,4720,5390,4,22004,167,4480.0,,
2006,57,38060,118,22,0,670,2,84,1,27,1,7,4,6,1,9130,6170,22000,22004,167,4480.0,,
2006,195,38060,118,13,1400,0,1,196,2,32,1,1,1,6,3,9920,0,0,28000,117,4480.0,,
2006,195,38060,118,13,1400,0,2,218,1,33,1,1,1,6,1,6400,770,28000,28000,117,4480.0,,
2006,195,38060,118,13,1400,0,3,185,2,11,6,1,1,2,0,9920,0,9999999,28000,117,4480.0,,
2006,195,38060,118,13,1400,0,4,184,2,7,6,1,1,1,0,9920,0,9999999,28000,117,4480.0,,
2006,195,38060,118,13,1400,0,5,220,1,3,6,1,1,0,0,9920,0,9999999,28000,117,4480.0,,
2006,105,29420,600,13,800,0,1,101,1,47,3,1,0,7,1,3820,9470,95900,95900,501,4480.0,,
2006,94,38060,102,12,0,0,1,92,2,76,4,1,0,11,3,9920,0,47100,47100,488,4480.0,,
2006,58,38060,105,13,4000,0,1,57,2,23,6,1,0,10,1,500,7670,40000,40000,289,4480.0,,
2006,51,38060,800,12,0,0,1,52,2,59,1,1,0,6,3,5100,5380,0,37000,276,4480.0,,
2006,51,38060,800,12,0,0,2,88,1,60,1,1,1,10,3,5240,3380,37000,37000,276,4480.0,,
2006,318,29420,600,13,770,0,1,307,1,48,1,1,0,6,1,9600,2670,26000,47000,354,4480.0,,
2006,318,29420,600,13,770,0,2,233,2,45,1,1,0,7,1,5700,5080,21000,47000,354,4480.0,,
