State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
04,00105,0400105,G04000105,04,00113,0400113,G04000113,Arizona,Phoenix City (Northeast),25,25,"152,743","110,363",0,0.00,0.00,"175,214","102,189",0,0.00,0.00,"647,566,590","85,572,441",471,0.00,0.00
04,00106,0400106,G04000106,04,00109,0400109,G04000109,Arizona,Maricopa County--Tempe City (North),25,23,"100,324","99,395",0,0.00,0.00,"100,162","102,150",0,0.00,0.00,"3,204,074,826","61,294,312","59,138",0.00,0.10
04,00106,0400106,G04000106,04,00110,0400110,G04000110,Arizona,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,25,25,"100,324","124,445","89,099",88.81,71.60,"100,162","116,958","83,181",83.05,71.12,"3,204,074,826","121,899,152","48,699,542",1.52,39.95
04,00106,0400106,G04000106,04,00111,0400111,G04000111,Arizona,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,25,25,"100,324","93,720","11,225",11.19,11.98,"100,162","104,877","16,981",16.95,16.19,"3,204,074,826","3,300,898,603","3,155,316,146",98.48,95.59
04,00107,0400107,G04000107,04,00110,0400110,G04000110,Arizona,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,25,25,"146,150","124,445",0,0.00,0.00,"140,319","116,958",0,0.00,0.00,"120,699,890","121,899,152","223,621",0.19,0.18
04,00107,0400107,G04000107,04,00113,0400113,G04000113,Arizona,Phoenix City (Northeast),25,25,"146,150","110,363","47,805",32.71,43.32,"140,319","102,189","44,195",31.50,43.25,"120,699,890","85,572,441","49,697,992",41.17,58.08
04,00107,0400107,G04000107,04,00114,0400114,G04000114,Arizona,Phoenix City (Northeast Central),25,25,"146,150","104,421","46,401",31.75,44.44,"140,319","103,639","44,883",31.99,43.31,"120,699,890","62,256,464","35,725,602",29.60,57.38
04,00107,0400107,G04000107,04,00115,0400115,G04000115,Arizona,Phoenix City (Northwest Central),25,25,"146,150","105,221","45,067",30.84,42.83,"140,319","101,757","44,822",31.94,44.05,"120,699,890","55,882,990","32,429,564",26.87,58.03
04,00107,0400107,G04000107,04,00116,0400116,G04000116,Arizona,Phoenix City (Uptown),25,25,"146,150","108,575","6,877",4.71,6.33,"140,319","100,212","6,419",4.57,6.41,"120,699,890","44,501,692","2,623,110",2.17,5.89
04,00108,0400108,G04000108,04,00125,0400125,G04000125,Arizona,Phoenix City (West),25,25,"116,247","103,937",0,0.00,0.00,"113,505","101,932",0,0.00,0.00,"67,153,515","41,243,856",847,0.00,0.00
